emoji,fr_signification,unicode,en_signification
👨‍💻, technologue homme ,\U0001f468\u200d\U0001f4bb,man technologist
👨🏿‍💻, homme technologue teint foncé ,\U0001f468\U0001f3ff\u200d\U0001f4bb,man technologist dark skin tone
👨🏻‍💻, homme technologue teint clair ,\U0001f468\U0001f3fb\u200d\U0001f4bb,man technologist light skin tone
👨🏾‍💻, homme teint moyen foncé technologue ,\U0001f468\U0001f3fe\u200d\U0001f4bb,man technologist medium-dark skin tone
👨🏼‍💻, homme teint moyen-lumière technologue ,\U0001f468\U0001f3fc\u200d\U0001f4bb,man technologist medium-light skin tone
👨🏽‍💻, homme teint moyen technologue ,\U0001f468\U0001f3fd\u200d\U0001f4bb,man technologist medium skin tone
💁‍♂️, homme basculement main ,\U0001f481\u200d\u2642\ufe0f,man tipping hand
💁🏿‍♂️, homme basculement main teint foncé ,\U0001f481\U0001f3ff\u200d\u2642\ufe0f,man tipping hand dark skin tone
💁🏻‍♂️, homme basculement main teint clair ,\U0001f481\U0001f3fb\u200d\u2642\ufe0f,man tipping hand light skin tone
💁🏾‍♂️, homme basculement main moyenne noir teint ,\U0001f481\U0001f3fe\u200d\u2642\ufe0f,man tipping hand medium-dark skin tone
💁🏼‍♂️, homme basculer le teint moyen lumière main ,\U0001f481\U0001f3fc\u200d\u2642\ufe0f,man tipping hand medium-light skin tone
💁🏽‍♂️, homme bascule carnation moyenne main ,\U0001f481\U0001f3fd\u200d\u2642\ufe0f,man tipping hand medium skin tone
🧛‍♂️, vampire homme ,\U0001f9db\u200d\u2642\ufe0f,man vampire
🧛🏿‍♂️, homme teint vampire noir ,\U0001f9db\U0001f3ff\u200d\u2642\ufe0f,man vampire dark skin tone
🧛🏻‍♂️, vampire homme teint clair ,\U0001f9db\U0001f3fb\u200d\u2642\ufe0f,man vampire light skin tone
🧛🏾‍♂️, moyen foncé teint vampire homme ,\U0001f9db\U0001f3fe\u200d\u2642\ufe0f,man vampire medium-dark skin tone
🧛🏼‍♂️, homme teint moyen-lumière vampire ,\U0001f9db\U0001f3fc\u200d\u2642\ufe0f,man vampire medium-light skin tone
🧛🏽‍♂️, homme teint moyen vampire ,\U0001f9db\U0001f3fd\u200d\u2642\ufe0f,man vampire medium skin tone
🚶‍♂️, marche homme ,\U0001f6b6\u200d\u2642\ufe0f,man walking
🚶🏿‍♂️, homme marche noir peau ton ,\U0001f6b6\U0001f3ff\u200d\u2642\ufe0f,man walking dark skin tone
🚶🏻‍♂️, homme marchant le teint clair ,\U0001f6b6\U0001f3fb\u200d\u2642\ufe0f,man walking light skin tone
🚶🏾‍♂️, homme marche le teint moyen foncé ,\U0001f6b6\U0001f3fe\u200d\u2642\ufe0f,man walking medium-dark skin tone
🚶🏼‍♂️, homme moyenne lumière marche carnation ,\U0001f6b6\U0001f3fc\u200d\u2642\ufe0f,man walking medium-light skin tone
🚶🏽‍♂️, homme teint moyen de marche ,\U0001f6b6\U0001f3fd\u200d\u2642\ufe0f,man walking medium skin tone
👳‍♂️, homme portant turb un ,\U0001f473\u200d\u2642\ufe0f,man wearing turban
👳🏿‍♂️, homme portant un turban teint foncé ,\U0001f473\U0001f3ff\u200d\u2642\ufe0f,man wearing turban dark skin tone
👳🏻‍♂️, homme portant un turban teint clair ,\U0001f473\U0001f3fb\u200d\u2642\ufe0f,man wearing turban light skin tone
👳🏾‍♂️, homme portant le teint moyen foncé turban ,\U0001f473\U0001f3fe\u200d\u2642\ufe0f,man wearing turban medium-dark skin tone
👳🏼‍♂️, homme portant le teint moyen léger turban ,\U0001f473\U0001f3fc\u200d\u2642\ufe0f,man wearing turban medium-light skin tone
👳🏽‍♂️, homme portant le teint moyen turban ,\U0001f473\U0001f3fd\u200d\u2642\ufe0f,man wearing turban medium skin tone
👨‍🦯, homme de sondage canne ,\U0001f468\u200d\U0001f9af,man with probing cane
👲, homme gua pi mao ,\U0001f472,man with gua pi mao
👲🏿, homme teint foncé chapeau chinois ,\U0001f472\U0001f3ff,man with Chinese cap dark skin tone
👲🏻, homme teint lumière chapeau chinois ,\U0001f472\U0001f3fb,man with Chinese cap light skin tone
👲🏾, homme teint moyen chapeau foncé chinois ,\U0001f472\U0001f3fe,man with Chinese cap medium-dark skin tone
👲🏼, homme avec le teint moyen-léger bouchon chinois ,\U0001f472\U0001f3fc,man with Chinese cap medium-light skin tone
👲🏽, homme avec le teint moyen de bouchon chinois ,\U0001f472\U0001f3fd,man with Chinese cap medium skin tone
🧟‍♂️, zombie homme ,\U0001f9df\u200d\u2642\ufe0f,man zombie
🥭, mangue ,\U0001f96d,mango
🕰, horloge cheminée ,\U0001f570,mantelpiece clock
🦽, fauteuil roulant manuel ,\U0001f9bd,manual wheelchair
👞, chaussures ,\U0001f45e,shoe
🗾, japon ,\U0001f5fe,japan
🍁, feuille d'érable ,\U0001f341,maple leaf
🥋, uniforme d'arts martiaux ,\U0001f94b,martial arts uniform
🧉, maté ,\U0001f9c9,mate
🍖, viande sur l'os ,\U0001f356,meat on bone
🦾, bras mécanique ,\U0001f9be,mechanical arm
🦿, jambe mécanique ,\U0001f9bf,mechanical leg
⚕, symbole médical ,\u2695,medical symbol
📣, mega ,\U0001f4e3,mega
🍈, melon ,\U0001f348,melon
📝, crayon ,\U0001f4dd,pencil
👯‍♂️, hommes avec des oreilles de lapin ,\U0001f46f\u200d\u2642\ufe0f,men with bunny ears
🤼‍♂️, hommes luttant ,\U0001f93c\u200d\u2642\ufe0f,men wrestling
🕎, menorah avec neuf branches ,\U0001f54e,menorah with nine branches
🚹, hommes ,\U0001f6b9,mens
🧜‍♀️, sirène ,\U0001f9dc\u200d\u2640\ufe0f,mermaid
🧜🏿‍♀️, sirène teint foncé ,\U0001f9dc\U0001f3ff\u200d\u2640\ufe0f,mermaid dark skin tone
🧜🏻‍♀️, sirène teint lumière ,\U0001f9dc\U0001f3fb\u200d\u2640\ufe0f,mermaid light skin tone
🧜🏾‍♀️, sirène teint moyen foncé ,\U0001f9dc\U0001f3fe\u200d\u2640\ufe0f,mermaid medium-dark skin tone
🧜🏼‍♀️, sirène carnation moyenne lumière ,\U0001f9dc\U0001f3fc\u200d\u2640\ufe0f,mermaid medium-light skin tone
🧜🏽‍♀️, sirène moyenne carnation ,\U0001f9dc\U0001f3fd\u200d\u2640\ufe0f,mermaid medium skin tone
🧜‍♂️, triton ,\U0001f9dc\u200d\u2642\ufe0f,merman
🧜🏿‍♂️, triton teint foncé ,\U0001f9dc\U0001f3ff\u200d\u2642\ufe0f,merman dark skin tone
🧜🏻‍♂️, triton teint clair ,\U0001f9dc\U0001f3fb\u200d\u2642\ufe0f,merman light skin tone
🧜🏾‍♂️, triton moyen teint foncé ,\U0001f9dc\U0001f3fe\u200d\u2642\ufe0f,merman medium-dark skin tone
🧜🏼‍♂️, teint moyen-lumière triton ,\U0001f9dc\U0001f3fc\u200d\u2642\ufe0f,merman medium-light skin tone
🧜🏽‍♂️, triton carnation moyenne ,\U0001f9dc\U0001f3fd\u200d\u2642\ufe0f,merman medium skin tone
🧜, merperson ,\U0001f9dc,merperson
🧜🏿, merperson teint foncé ,\U0001f9dc\U0001f3ff,merperson dark skin tone
🧜🏻, lumière merperson tonus de la peau ,\U0001f9dc\U0001f3fb,merperson light skin tone
🧜🏾, peau merperson moyenne noir ton ,\U0001f9dc\U0001f3fe,merperson medium-dark skin tone
🧜🏼, peau moyenne lumière merperson ton ,\U0001f9dc\U0001f3fc,merperson medium-light skin tone
🧜🏽, peau moyenne merperson ton ,\U0001f9dc\U0001f3fd,merperson medium skin tone
🚇, métro ,\U0001f687,metro
🦠, microbe ,\U0001f9a0,microbe
🎤, micro ,\U0001f3a4,microphone
🔬, microscope ,\U0001f52c,microscope
🖕, main inversée avec doigt du milieu étendu ,\U0001f595,reversed hand with middle finger extended
🖕🏿, doigt du milieu teint foncé ,\U0001f595\U0001f3ff,middle finger dark skin tone
🖕🏻, médius teint clair ,\U0001f595\U0001f3fb,middle finger light skin tone
🖕🏾, milieu peau médius foncé ton ,\U0001f595\U0001f3fe,middle finger medium-dark skin tone
🖕🏼, teint moyen-lumière médius ,\U0001f595\U0001f3fc,middle finger medium-light skin tone
🖕🏽, teint moyen médius ,\U0001f595\U0001f3fd,middle finger medium skin tone
🎖, médaille militaire ,\U0001f396,military medal
🌌, voie lactée ,\U0001f30c,milky way
🚐, minibus ,\U0001f690,minibus
🗿, Moyai ,\U0001f5ff,moyai
📱, iPhone ,\U0001f4f1,iphone
📴, téléphone mobile off ,\U0001f4f4,mobile phone off
📲, appeler ,\U0001f4f2,calling
🤑, bouche argent visage ,\U0001f911,money  mouth face
💰, moneybag ,\U0001f4b0,moneybag
💸, argent avec des ailes ,\U0001f4b8,money with wings
🐒, singe ,\U0001f412,monkey
🐵, visage de singe ,\U0001f435,monkey face
🚝, monorail ,\U0001f69d,monorail
🥮, gâteau de lune ,\U0001f96e,moon cake
🎑, scène riz ,\U0001f391,rice scene
🕌, mosquée ,\U0001f54c,mosque
🦟, moustiques ,\U0001f99f,mosquito
🛥, bateau à moteur ,\U0001f6e5,motor boat
🛵, scooter ,\U0001f6f5,motor scooter
🏍, moto de course ,\U0001f3cd,racing motorcycle
🦼, fauteuil roulant motorisé ,\U0001f9bc,motorized wheelchair
🛣, autoroute ,\U0001f6e3,motorway
🗻, monter fuji ,\U0001f5fb,mount fuji
⛰, montagne ,\u26f0,mountain
🚠, téléphérique de montagne ,\U0001f6a0,mountain cableway
🚞, chemin de fer de montagne ,\U0001f69e,mountain railway
🐭, visage de la souris ,\U0001f42d,mouse face
👄, lèvres ,\U0001f444,lips
🎥, caméra ,\U0001f3a5,movie camera
🍄, champignons ,\U0001f344,mushroom
🎹, clavier musical ,\U0001f3b9,musical keyboard
🎵, note musicale ,\U0001f3b5,musical note
🎶, notes ,\U0001f3b6,notes
🎼, partition musicale ,\U0001f3bc,musical score
🔇, mute ,\U0001f507,mute
💅, soin des ongles ,\U0001f485,nail care
💅🏿, vernis à ongles teint foncé ,\U0001f485\U0001f3ff,nail polish dark skin tone
💅🏻, vernis à ongles teint clair ,\U0001f485\U0001f3fb,nail polish light skin tone
💅🏾, vernis à ongles teint moyen foncé ,\U0001f485\U0001f3fe,nail polish medium-dark skin tone
💅🏼, vernis à ongles teint moyenne lumière ,\U0001f485\U0001f3fc,nail polish medium-light skin tone
💅🏽, vernis à ongles teint moyen ,\U0001f485\U0001f3fd,nail polish medium skin tone
📛, badge ,\U0001f4db,name badge
🏞, parc national ,\U0001f3de,national park
🤢, visage écœuré ,\U0001f922,nauseated face
🧿, amulette Nazar ,\U0001f9ff,nazar amulet
👔, cravate ,\U0001f454,necktie
🤓, visage nerd ,\U0001f913,nerd face
😐, visage neutre ,\U0001f610,neutral face
🌑, nouvelle lune ,\U0001f311,new moon
🌚, Nouvelle lune avec le visage ,\U0001f31a,new moon with face
📰, journal ,\U0001f4f0,newspaper
⏭, droit noir pointant à double triangle avec barre verticale ,\u23ed,black right  pointing double triangle with vertical bar
🌃, nuit avec étoiles ,\U0001f303,night with stars
🕤, clock930 ,\U0001f564,clock930
🕘, clock9 ,\U0001f558,clock9
🚳, pas de vélos ,\U0001f6b3,no bicycles
⛔, pas d'entrée ,\u26d4,no entry
🚯, ne pas jeter ,\U0001f6af,do not litter
📵, pas de téléphones portables ,\U0001f4f5,no mobile phones
🔞, âge mineur ,\U0001f51e,underage
🚷, aucun piéton ,\U0001f6b7,no pedestrians
🚭, non-fumeur ,\U0001f6ad,no smoking
🚱, eau non potable ,\U0001f6b1,non  potable water
👃, nez ,\U0001f443,nose
👃🏿, nez teint foncé ,\U0001f443\U0001f3ff,nose dark skin tone
👃🏻, nez teint clair ,\U0001f443\U0001f3fb,nose light skin tone
👃🏾, peau moyenne noir ton nez ,\U0001f443\U0001f3fe,nose medium-dark skin tone
👃🏼, peau moyenne lumière ton nez ,\U0001f443\U0001f3fc,nose medium-light skin tone
👃🏽, teint moyen nez ,\U0001f443\U0001f3fd,nose medium skin tone
📓, ordinateur portable ,\U0001f4d3,notebook
📔, ordinateur portable avec couvercle décoratif ,\U0001f4d4,notebook with decorative cover
🔩, écrous et de boulons ,\U0001f529,nut and bolt
🐙, poulpe ,\U0001f419,octopus
🍢, Oden ,\U0001f362,oden
🏢, bureau ,\U0001f3e2,office
👹, japonais ogre ,\U0001f479,japanese ogre
🛢, tambour d'huile ,\U0001f6e2,oil drum
🗝, ancienne clé ,\U0001f5dd,old key
👴, vieil homme ,\U0001f474,older man
👴🏿, vieil homme teint foncé ,\U0001f474\U0001f3ff,old man dark skin tone
👴🏻, vieil homme teint clair ,\U0001f474\U0001f3fb,old man light skin tone
👴🏾, vieux teint moyen foncé homme ,\U0001f474\U0001f3fe,old man medium-dark skin tone
👴🏼, vieux teint moyen-lumière homme ,\U0001f474\U0001f3fc,old man medium-light skin tone
👴🏽, vieux teint moyen homme ,\U0001f474\U0001f3fd,old man medium skin tone
👵, femme âgée ,\U0001f475,older woman
👵🏿, vieille femme teint foncé ,\U0001f475\U0001f3ff,old woman dark skin tone
👵🏻, vieille femme teint clair ,\U0001f475\U0001f3fb,old woman light skin tone
👵🏾, vieille femme teint moyen foncé,\U0001f475\U0001f3fe,old woman medium-dark skin tone
👵🏼,vieille femme teint moyenne lumière ,\U0001f475\U0001f3fc,old woman medium-light skin tone
👵🏽, vieille femme carnation moyenne ,\U0001f475\U0001f3fd,old woman medium skin tone
🧓, plus adulte ,\U0001f9d3,older adult
🧓🏿, plus adulte teint foncé ,\U0001f9d3\U0001f3ff,older adult dark skin tone
🧓🏻, teint lumière plus adulte ,\U0001f9d3\U0001f3fb,older adult light skin tone
🧓🏾, plus peau moyenne noir adulte ton ,\U0001f9d3\U0001f3fe,older adult medium-dark skin tone
🧓🏼, plus la peau moyenne lumière adulte ton ,\U0001f9d3\U0001f3fc,older adult medium-light skin tone
🧓🏽, plus le teint moyen adulte ,\U0001f9d3\U0001f3fd,older adult medium skin tone
🕉, symbole de l'om ,\U0001f549,om symbol
🚘, automobile venant en sens inverse ,\U0001f698,oncoming automobile
🚍, bus venant en sens inverse ,\U0001f68d,oncoming bus
👊, coup de poing ,\U0001f44a,punch
👊🏿, poing venant en sens inverse le teint foncé ,\U0001f44a\U0001f3ff,oncoming fist dark skin tone
👊🏻, venant en sens inverse le teint poing lumière ,\U0001f44a\U0001f3fb,oncoming fist light skin tone
👊🏾, peau poing venant en sens inverse moyenne noir ton ,\U0001f44a\U0001f3fe,oncoming fist medium-dark skin tone
👊🏼, teint moyen-lumière poing venant en sens inverse ,\U0001f44a\U0001f3fc,oncoming fist medium-light skin tone
👊🏽, teint moyen de poing venant en sens inverse ,\U0001f44a\U0001f3fd,oncoming fist medium skin tone
🚔, venant en sens inverse voiture de police ,\U0001f694,oncoming police car
🚖, un taxi venant en sens inverse ,\U0001f696,oncoming taxi
🩱, maillot de bain une pièce ,\U0001fa71,one-piece swimsuit
🕜, clock130 ,\U0001f55c,clock130
🕐, clock1 ,\U0001f550,clock1
🧅, oignon ,\U0001f9c5,onion
📖, livre ,\U0001f4d6,book
📂, dossier ouvert ,\U0001f4c2,open file folder
👐, mains ouvertes ,\U0001f450,open hands
👐🏿, mains ouvertes le teint foncé ,\U0001f450\U0001f3ff,open hands dark skin tone
👐🏻, mains ouvertes le teint clair ,\U0001f450\U0001f3fb,open hands light skin tone
👐🏾, teint mains ouvertes moyen foncé ,\U0001f450\U0001f3fe,open hands medium-dark skin tone
👐🏼, teint moyen lumière mains ouvertes ,\U0001f450\U0001f3fc,open hands medium-light skin tone
👐🏽, mains ouvertes carnation moyenne ,\U0001f450\U0001f3fd,open hands medium skin tone
📭, boîte aux lettres sans mail ,\U0001f4ed,mailbox with no mail
📬, boîte aux lettres mail ,\U0001f4ec,mailbox with mail
💿, cd ,\U0001f4bf,cd
📙, livre orange ,\U0001f4d9,orange book
🟠, cercle orange ,\U0001f7e0,orange circle
🧡, orange coeur ,\U0001f9e1,orange heart
🟧, carré orange ,\U0001f7e7,orange square
🦧, orang-outan ,\U0001f9a7,orangutan
☦, croix orthodoxe ,\u2626,orthodox cross
🦦, loutre ,\U0001f9a6,otter
📤, plateau Outbox ,\U0001f4e4,outbox tray
🦉, hibou ,\U0001f989,owl
🐂, boeuf ,\U0001f402,ox
🦪, huître ,\U0001f9aa,oyster
📦, ensemble ,\U0001f4e6,package
📄, Parement page up ,\U0001f4c4,page facing up
📃, avec boucle ,\U0001f4c3,page with curl
📟, téléavertisseur ,\U0001f4df,pager
🖌, lower paintbrush ,\U0001f58c,lower left paintbrush
🌴, palmier ,\U0001f334,palm tree
🤲, paumes vers le haut ensemble ,\U0001f932,palms up together
🤲🏿, paumes vers le haut de teint foncé ensemble ,\U0001f932\U0001f3ff,palms up together dark skin tone
🤲🏻, paumes vers le haut de la peau ainsi que la lumière ton ,\U0001f932\U0001f3fb,palms up together light skin tone
🤲🏾, paumes vers le haut ainsi que le teint moyen foncé ,\U0001f932\U0001f3fe,palms up together medium-dark skin tone
🤲🏼, paumes vers le haut le teint ensemble moyen lumière ,\U0001f932\U0001f3fc,palms up together medium-light skin tone
🤲🏽, paumes vers le haut ensemble moyen de teint ,\U0001f932\U0001f3fd,palms up together medium skin tone
🥞, crêpes ,\U0001f95e,pancakes
🐼, visage panda ,\U0001f43c,panda face
📎, paperclip ,\U0001f4ce,paperclip
🦜, perroquet ,\U0001f99c,parrot
〽, marque une partie de l'alternance ,\u303d,part alternation mark
🎉, Tada ,\U0001f389,tada
🥳, visage fête ,\U0001f973,partying face
🛳, navire à passagers ,\U0001f6f3,passenger ship
🛂, contrôle des passeports ,\U0001f6c2,passport control
⏸, double barre verticale ,\u23f8,double vertical bar
🐾, pieds ,\U0001f43e,feet
☮, symbole de paix ,\u262e,peace symbol
🍑, pêche ,\U0001f351,peach
🦚, paon ,\U0001f99a,peacock
🥜, arachides ,\U0001f95c,peanuts
🍐, poire ,\U0001f350,pear
🖊, lower stylo à bille gauche ,\U0001f58a,lower left ballpoint pen
🐧, pingouin ,\U0001f427,penguin
😔, pensifs ,\U0001f614,pensive
🧑‍🤝‍🧑, gens se tenant la main ,\U0001f9d1\u200d\U0001f91d\u200d\U0001f9d1,people holding hands
👯, danseurs ,\U0001f46f,dancers
🤼, gens luttant ,\U0001f93c,people wrestling
🎭, arts de la scène ,\U0001f3ad,performing arts
😣, persévèrent ,\U0001f623,persevere
🚴, cycliste ,\U0001f6b4,bicyclist
🚴🏿, personne vélo carnation sombre ,\U0001f6b4\U0001f3ff,person biking dark skin tone
🚴🏻, personne vélo carnation lumière ,\U0001f6b4\U0001f3fb,person biking light skin tone
🚴🏾, personne vélo carnation moyenne noir ,\U0001f6b4\U0001f3fe,person biking medium-dark skin tone
🚴🏼, personne vélo carnation moyenne lumière ,\U0001f6b4\U0001f3fc,person biking medium-light skin tone
🚴🏽, personne vélo carnation moyenne ,\U0001f6b4\U0001f3fd,person biking medium skin tone
⛹, personne balle ,\u26f9,person with ball
⛹🏿, personne rebondissant carnation ball noir ,\u26f9\U0001f3ff,person bouncing ball dark skin tone
⛹🏻, personne balle rebondissante lumière carnation ,\u26f9\U0001f3fb,person bouncing ball light skin tone
⛹🏾, personne rebondir à moyen balle teint foncé ,\u26f9\U0001f3fe,person bouncing ball medium-dark skin tone
⛹🏼, personne rebondissant carnation moyenne lumière balle ,\u26f9\U0001f3fc,person bouncing ball medium-light skin tone
⛹🏽, personne balle rebondissante moyen carnation ,\u26f9\U0001f3fd,person bouncing ball medium skin tone
🙇, arc ,\U0001f647,bow
🙇🏿, personne inclinant le teint foncé ,\U0001f647\U0001f3ff,person bowing dark skin tone
🙇🏻, personne saluant le ton de la peau claire ,\U0001f647\U0001f3fb,person bowing light skin tone
🙇🏾, personne saluant le teint moyen foncé ,\U0001f647\U0001f3fe,person bowing medium-dark skin tone
🙇🏼, personne saluant le teint moyen de lumière ,\U0001f647\U0001f3fc,person bowing medium-light skin tone
🙇🏽, personne saluant le teint moyen ,\U0001f647\U0001f3fd,person bowing medium skin tone
🤸, personne se renversant ,\U0001f938,person cartwheeling
🤸🏿, personne cartwhee Ling teint foncé ,\U0001f938\U0001f3ff,person cartwheeling dark skin tone
🤸🏻, personne se renversant sur le ton de la peau claire ,\U0001f938\U0001f3fb,person cartwheeling light skin tone
🤸🏾, personne se renversant sur le teint moyen foncé ,\U0001f938\U0001f3fe,person cartwheeling medium-dark skin tone
🤸🏼, personne se renversant sur le teint moyen de lumière ,\U0001f938\U0001f3fc,person cartwheeling medium-light skin tone
🤸🏽, personne se renversant sur le ton de la peau moyenne ,\U0001f938\U0001f3fd,person cartwheeling medium skin tone
🧗, personne qui monte ,\U0001f9d7,person climbing
🧗🏿, personne teint foncé escalade ,\U0001f9d7\U0001f3ff,person climbing dark skin tone
🧗🏻, personne escalade carnation lumière ,\U0001f9d7\U0001f3fb,person climbing light skin tone
🧗🏾, personne qui monte moyen foncé teint ,\U0001f9d7\U0001f3fe,person climbing medium-dark skin tone
🧗🏼, personne teint moyen-lumière escalade ,\U0001f9d7\U0001f3fc,person climbing medium-light skin tone
🧗🏽, personne carnation moyenne d'escalade ,\U0001f9d7\U0001f3fd,person climbing medium skin tone
🤦, personne facepalming ,\U0001f926,person facepalming
🤦🏿, personne facepalming teint foncé ,\U0001f926\U0001f3ff,person facepalming dark skin tone
🤦🏻, personne facepalming teint clair ,\U0001f926\U0001f3fb,person facepalming light skin tone
🤦🏾, peau personne moyenne foncé facepalming ton ,\U0001f926\U0001f3fe,person facepalming medium-dark skin tone
🤦🏼, personne facepalming teint moyen lumière ,\U0001f926\U0001f3fc,person facepalming medium-light skin tone
🤦🏽, personne facepalming carnation moyenne ,\U0001f926\U0001f3fd,person facepalming medium skin tone
🤺, personne clôture ,\U0001f93a,person fencing
🙍, personne fronçant les sourcils ,\U0001f64d,person frowning
🙍🏿, personne fronçant les sourcils teint foncé ,\U0001f64d\U0001f3ff,person frowning dark skin tone
🙍🏻, personne fronçant les sourcils teint clair ,\U0001f64d\U0001f3fb,person frowning light skin tone
🙍🏾, peau personne moyenne noir fronçant les sourcils ton ,\U0001f64d\U0001f3fe,person frowning medium-dark skin tone
🙍🏼, personne fronçant les sourcils teint moyen lumière ,\U0001f64d\U0001f3fc,person frowning medium-light skin tone
🙍🏽, personne fronçant les sourcils teint moyen ,\U0001f64d\U0001f3fd,person frowning medium skin tone
🙅, pas bon ,\U0001f645,no good
🙅🏿, personne faisant un geste NO teint foncé ,\U0001f645\U0001f3ff,person gesturing NO dark skin tone
🙅🏻, personne faisant un geste NO teint clair ,\U0001f645\U0001f3fb,person gesturing NO light skin tone
🙅🏾, personne faisant un geste NO teint moyen foncé ,\U0001f645\U0001f3fe,person gesturing NO medium-dark skin tone
🙅🏼, personne faisant un geste NO teint moyen lumière ,\U0001f645\U0001f3fc,person gesturing NO medium-light skin tone
🙅🏽, personne faisant signe teint NO moyen ,\U0001f645\U0001f3fd,person gesturing NO medium skin tone
🙆, femme ok ,\U0001f646,ok woman
🙆🏿, personne gestu anneau OK teint foncé ,\U0001f646\U0001f3ff,person gesturing OK dark skin tone
🙆🏻, personne faisant un geste OK teint clair ,\U0001f646\U0001f3fb,person gesturing OK light skin tone
🙆🏾, personne faisant un geste teint moyen foncé OK ,\U0001f646\U0001f3fe,person gesturing OK medium-dark skin tone
🙆🏼, personne gesticulant carnation moyenne lumière OK ,\U0001f646\U0001f3fc,person gesturing OK medium-light skin tone
🙆🏽, personne faisant signe OK carnation moyenne ,\U0001f646\U0001f3fd,person gesturing OK medium skin tone
💇, coupe de cheveux ,\U0001f487,haircut
💇🏿, personne obtenir le teint coupe de cheveux noir ,\U0001f487\U0001f3ff,person getting haircut dark skin tone
💇🏻, personne se coupe de cheveux teint clair ,\U0001f487\U0001f3fb,person getting haircut light skin tone
💇🏾, personne obtenir le teint coupe de cheveux mi-noire ,\U0001f487\U0001f3fe,person getting haircut medium-dark skin tone
💇🏼, personne obtenir le teint moyen léger coupe de cheveux ,\U0001f487\U0001f3fc,person getting haircut medium-light skin tone
💇🏽, personne qui reçoit le teint moyen de coupe ,\U0001f487\U0001f3fd,person getting haircut medium skin tone
💆, massage ,\U0001f486,massage
💆🏿, personne obtenir le teint foncé de massage ,\U0001f486\U0001f3ff,person getting massage dark skin tone
💆🏻, personne obtenir le teint léger massage ,\U0001f486\U0001f3fb,person getting massage light skin tone
💆🏾, personne obtenir moyen de massage teint foncé ,\U0001f486\U0001f3fe,person getting massage medium-dark skin tone
💆🏼, personne obtenir le teint moyen-léger massage ,\U0001f486\U0001f3fc,person getting massage medium-light skin tone
💆🏽, personne qui reçoit le teint moyen de massage ,\U0001f486\U0001f3fd,person getting massage medium skin tone
🏌, golfeur ,\U0001f3cc,golfer
🏌🏿, personne jouer au golf carnation sombre ,\U0001f3cc\U0001f3ff,person golfing dark skin tone
🏌🏻, personne jouer au golf carnation lumière ,\U0001f3cc\U0001f3fb,person golfing light skin tone
🏌🏾, personne teint moyen foncé golf ,\U0001f3cc\U0001f3fe,person golfing medium-dark skin tone
🏌🏼, personne carnation moyenne lumière golf ,\U0001f3cc\U0001f3fc,person golfing medium-light skin tone
🏌🏽, personne carnation moyenne de golf ,\U0001f3cc\U0001f3fd,person golfing medium skin tone
🛌, couchage ,\U0001f6cc,sleeping accommodation
🛌🏿, personne carnation lit noir ,\U0001f6cc\U0001f3ff,person in bed dark skin tone
🛌🏻, personne lit le teint clair ,\U0001f6cc\U0001f3fb,person in bed light skin tone
🛌🏾, personne teint lit moyen foncé ,\U0001f6cc\U0001f3fe,person in bed medium-dark skin tone
🛌🏼, personne dans la peau moyenne lumière ton lit ,\U0001f6cc\U0001f3fc,person in bed medium-light skin tone
🛌🏽, personne dans le ton de la peau moyenne de lit ,\U0001f6cc\U0001f3fd,person in bed medium skin tone
🧘, personne position du lotus ,\U0001f9d8,person in lotus position
🧘🏿, p ersonne en position de lotus teint foncé ,\U0001f9d8\U0001f3ff,person in lotus position dark skin tone
🧘🏻, personne dans le ton de la peau claire de la position du lotus ,\U0001f9d8\U0001f3fb,person in lotus position light skin tone
🧘🏾, personne teint moyen foncé position de lotus ,\U0001f9d8\U0001f3fe,person in lotus position medium-dark skin tone
🧘🏼, personne dans le ton de la peau moyenne lumière position du lotus ,\U0001f9d8\U0001f3fc,person in lotus position medium-light skin tone
🧘🏽, personne dans le ton de la peau moyenne de position de lotus ,\U0001f9d8\U0001f3fd,person in lotus position medium skin tone
🧖, personne en chambre chaude et humide ,\U0001f9d6,person in steamy room
🧖🏿, personne dans la chambre chaude et humide teint foncé ,\U0001f9d6\U0001f3ff,person in steamy room dark skin tone
🧖🏻, personne dans la chambre chaude et humide teint clair ,\U0001f9d6\U0001f3fb,person in steamy room light skin tone
🧖🏾, personne dans la peau pièce embuée moyen foncé ton ,\U0001f9d6\U0001f3fe,person in steamy room medium-dark skin tone
🧖🏼, personne dans le ton de la peau moyenne lumière pièce embuée ,\U0001f9d6\U0001f3fc,person in steamy room medium-light skin tone
🧖🏽, personne dans le ton de la peau moyenne de pièce embuée ,\U0001f9d6\U0001f3fd,person in steamy room medium skin tone
🤹, personne jonglage ,\U0001f939,person juggling
🤹🏿, peau personne noire jonglerie ton ,\U0001f939\U0001f3ff,person juggling dark skin tone
🤹🏻, personne jonglerie carnation lumière ,\U0001f939\U0001f3fb,person juggling light skin tone
🤹🏾, personne teint moyen foncé jonglerie ,\U0001f939\U0001f3fe,person juggling medium-dark skin tone
🤹🏼, personne teint moyen-lumière jongler ,\U0001f939\U0001f3fc,person juggling medium-light skin tone
🤹🏽, personne carnation moyenne jonglerie ,\U0001f939\U0001f3fd,person juggling medium skin tone
🧎, personne agenouillée ,\U0001f9ce,person kneeling
🏋, haltérophile ,\U0001f3cb,weight lifter
